,id,applicants,dcp-borough,dcp-femafloodzonea,dcp-projectname,dcp-projectbrief,dcp-ceqrnumber,dcp-publicstatus,dcp-noticeddate,bbls,ulurpnumbers,polygon
0,2020M0112,HPD - NYC Dept of Housing Preservation & Development,Manhattan,False,The Lirio/MTA Site - 806 9th Avenue,"HPD proposes a zoning map amendment, a zoning text amendment, a special permit, site acquisition, and site disposition to facilitate the development of a new nine-story, mixed-use building containing approximately 111 affordable and supportive housing units, retail space, and new office space for the MTA in the Clinton/Hell’s Kitchen neighborhood of Manhattan, Community District 4.",20HPD053M,In Public Review,2021-10-29T00:00:09.000Z,"['1010440024', '1010447501', '1010440025', '1010440022', '1010440002', '1010440038', '1010440003']","['N220219ZRM', '220220ZMM', '220221ZSM', '220222PPM', '220223PQM', '220221AZSM']","[[-73.985401, 40.764537], [-73.985477, 40.764569], [-73.985554, 40.764602], [-73.985708, 40.764666], [-73.98658, 40.765033], [-73.986484, 40.765165], [-73.986561, 40.765198], [-73.986614, 40.76522], [-73.986678, 40.765247], [-73.986771, 40.765286], [-73.986867, 40.765326], [-73.986952, 40.765362], [-73.986984, 40.765375], [-73.987036, 40.7654], [-73.987089, 40.765327], [-73.987332, 40.765429], [-73.987259, 40.76553], [-73.98702, 40.765858], [-73.98535, 40.765158], [-73.985196, 40.765093], [-73.984877, 40.764959], [-73.984481, 40.764793], [-73.984841, 40.764301], [-73.985401, 40.764537]]"
1,2019M0374,HPD - NYC Dept of Housing Preservation & Development,Manhattan,False,705 Tenth Avenue (DEP Site),"HPD proposes an UDAAP designation with a disposition, a zoning text amendment, and zoning special permits to facilitate the development of a new eight-story mixed-use building with approximately 157 units of affordable housing, ground-floor community facility, and a publicly accessible open space be operated by the New York City Department of Parks and Recreation on the DEP Site within the Clinton/Hell’s Kitchen neighborhood of Manhattan, Community District 4.",21HPD031M,In Public Review,2021-12-30T00:00:50.000Z,['1010770029'],"['C220338ZSM', 'N220339ZRM', 'C220340HAM', 'C220337ZSM']","[[-73.99244, 40.764051], [-73.992799, 40.763562], [-73.993515, 40.763862], [-73.993333, 40.76411], [-73.993394, 40.764136], [-73.993217, 40.764377], [-73.99244, 40.764051]]"
2,2021M0456,19 East 72nd,Manhattan,False,19 East 72nd Street Special Permit Renewal,"A private application by 19 East 72nd Street Corporation to renew a 74-711 Special Permit via ZR 11-43 at 19 East 72nd Street in Community District 8, Manhattan. ",22DCP038M,In Public Review,,['1013870014'],['N220083CMM'],"[[-73.965677, 40.772365], [-73.965608, 40.772336], [-73.965568, 40.77239], [-73.965568, 40.77239], [-73.965502, 40.772362], [-73.965495, 40.772359], [-73.965534, 40.772306], [-73.965291, 40.772203], [-73.965477, 40.771948], [-73.965923, 40.772136], [-73.965738, 40.77239], [-73.965677, 40.772365]]"
3,2022M0203,Jeffrey Mulligan,Manhattan,False,280 Park Avenue OAC,"Private application for a chairperson's certification pursuant to ZR 37-73 to permit an Open-Air Cafe within the POPS at 280 Park Avenue, Manhattan, Community District 5.  This is their first renewal.",22DCP169M,In Public Review,,"['1012840033', '1012840026']","['N220385ZCM', 'N220391LDM']","[[-73.975095, 40.756098], [-73.975452, 40.756249], [-73.975962, 40.756463], [-73.975782, 40.75671], [-73.975831, 40.756731], [-73.975832, 40.75673], [-73.975876, 40.756748], [-73.975828, 40.756813], [-73.975694, 40.756998], [-73.975091, 40.756744], [-73.974734, 40.756593], [-73.975095, 40.756098]]"
4,2019M0319,NYCHA - New York City Housing Authority,Manhattan,True,Campos Plaza I & II Non-ULURP Modification,"This is a public/private application by the New York City Housing Authority (NYCHA) and Madison Realty Capital requesting a non-ULURP modification to the Campos Plaza II Large Scale Residential Development to facilitate the development of a 24-story residential building with community facility space, ground floor retail, and 175 dwelling units, 53 of which are proposed to be affordable. The project is located in the East Village neighborhood of Manhattan, Community District 3.",22CHA002M,In Public Review,,"['1003960029', '1003960010', '1003950022', '1003950009']",['M220384ZSM'],"[[-73.976247, 40.727875], [-73.976703, 40.727231], [-73.97679, 40.727267], [-73.97856, 40.728014], [-73.978472, 40.728135], [-73.978334, 40.728325], [-73.978291, 40.728385], [-73.97825, 40.728443], [-73.978201, 40.72851], [-73.977966, 40.728413], [-73.97805, 40.7283], [-73.978146, 40.728164], [-73.977442, 40.727872], [-73.977262, 40.72812], [-73.977194, 40.728214], [-73.977175, 40.728242], [-73.977172, 40.72825], [-73.97717, 40.728259], [-73.977168, 40.728268], [-73.977168, 40.72828], [-73.977169, 40.728289], [-73.97717, 40.728298], [-73.977172, 40.728307], [-73.977176, 40.728316], [-73.977182, 40.728328], [-73.977187, 40.728335], [-73.977191, 40.728341], [-73.977197, 40.728347], [-73.977201, 40.728352], [-73.977207, 40.728357], [-73.977213, 40.728362], [-73.977218, 40.728366], [-73.977223, 40.72837], [-73.977231, 40.728375], [-73.977239, 40.728379], [-73.977245, 40.728382], [-73.977251, 40.728384], [-73.977258, 40.728387], [-73.977264, 40.728389], [-73.977272, 40.728392], [-73.97728, 40.728394], [-73.977289, 40.728396], [-73.977298, 40.728397], [-73.977306, 40.728398], [-73.977314, 40.728399], [-73.977323, 40.728399], [-73.977331, 40.728399], [-73.977343, 40.728399], [-73.977356, 40.728397], [-73.977368, 40.728395], [-73.977379, 40.728393], [-73.977392, 40.728391], [-73.977403, 40.728389], [-73.977415, 40.728388], [-73.977425, 40.728388], [-73.977436, 40.728388], [-73.977447, 40.728389], [-73.977459, 40.72839], [-73.977473, 40.728393], [-73.9775, 40.728404], [-73.978114, 40.728659], [-73.978022, 40.728784], [-73.977983, 40.728836], [-73.977944, 40.728889], [-73.977907, 40.728939], [-73.977867, 40.728992], [-73.977739, 40.729164], [-73.976953, 40.728832], [-73.977138, 40.728575], [-73.976608, 40.728351], [-73.976524, 40.728316], [-73.976437, 40.728279], [-73.976351, 40.728242], [-73.976166, 40.728499], [-73.975889, 40.728382], [-73.976091, 40.728096], [-73.976247, 40.727875]]"
5,2022M0219,SBS - NYC Small Business Services,Manhattan,False,West Village BID Formation,"(Map shows approximate boundary, please see Public Documents below for exact boundary)

An application from the Department of Small Business Services (SBS) on behalf of the proposed West Village Business Improvement District (BID) to form the BID in Community District 2 of Manhattan. ",22SBS001M,In Public Review,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1005870036', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1005830029', '1005830037', '1005830038', '1005830039', '1005840029', '1005840030', '1005840031', '1005840032', '1005840033', '1005840034', '1005840035', '1005840036', '1005840037', '1005840061', '1005850023', '1005850024', '1005850025', '1005850027', '1005850028', '1005850029', '1005850041', '1005850050', '1005850051', '1005850052', '1005850053', '1005850054', '1005850055', '1005860020', '1005860043', '1005860044', '1005860045', '1005860055', '1005860056', '1005860057', '1005860059', '1005860060', '1005860061', '1005860062', '1005860063', '1005860064', '1005860065', '1005860066', '1005860077', '1005861001', '1005861002', '1005861003', '1005861004', '1005861005', '1005861006', '1005861007', '1005861008', '1005861009', '1005861101', '1005861102', '1005861103', '1005861104', '1005861105', '1005861106', '1005870001', '1005870003', '1005870004', '1005870005', '1005870006', '1005870007', '1005870009', '1005870010', '1005870011', '1005870012', '1005870014', '1005870015', '1005870016', '1005870020', '1005870021', '1005870024', '1005870025', '1005870026', '1005870028', '1005870029', '1005870030', '1005870035', '1005870036', '1005870037', '1005870043', '1005870044', '1005870046', '1005870049', '1005870050', '1005870051', '1005870052', '1005870053', '1005870054', '1005870055', '1005870056', '1005870061', '1005870062', '1005870063', '1005870064', '1005870065', '1005870066', '1005871001', '1005871002', '1005871003', '1005871004', '1005871005', '1005871006', '1005871007', '1005871008', '1005871009', '1005871010', '1005871011', '1005871012', '1005871013', '1005871014', '1005871015', '1005871016', '1005871017', '1005871018', '1005871019', '1005871020', '1005871021', '1005871022', '1005871023', '1005871024', '1005871025', '1005871026', '1005871027', '1005871028', '1005871029', '1005871030', '1005871101', '1005871102', '1005871103', '1005871104', '1005871105', '1005871106', '1005871107', '1005880002', '1005880003', '1005880004', '1005880006', '1005880007', '1005880009', '1005880011', '1005880012', '1005880013', '1005880014', '1005880015', '1005880016', '1005880017', '1005880018', '1005880018', '1005880022', '1005880023', '1005880024', '1005880025', '1005880026', '1005880028', '1005880029', '1005880030', '1005880032', '1005880033', '1005880034', '1005880035', '1005880036', '1005880037', '1005880038', '1005880039', '1005880040', '1005880041', '1005880042', '1005880043', '1005880045', '1005880047', '1005880048', '1005880050', '1005880051', '1005880054', '1005880057', '1005880058', '1005880059', '1005880060', '1005880061', '1005880062', '1005880063', '1005880066', '1005880067', '1005880069', '1005880070', '1005880071', '1005880074', '1005880075', '1005880076', '1005880077', '1005880078', '1005880079', '1005880081', '1005880082', '1005881001', '1005881002', '1005881003', '1005881004', '1005881005', '1005881006', '1005881007', '1005881008', '1005881101', '1005881102', '1005881103', '1005881104', '1005881105', '1005881106', '1005881107', '1005881108', '1005881109', '1005890002', '1005890003', '1005890004', '1005890005', '1005890006', '1005890007', '1005890008', '1005890009', '1005890010', '1005890011', '1005890012', '1005890013', '1005890014', '1005890017', '1005890019', '1005890028', '1005890029', '1005890030', '1005890031', '1005890033', '1005890034', '1005890035', '1005890036', '1005890037', '1005890038', '1005890039', '1005890040', '1005890041', '1005890043', '1005890044', '1005890045', '1005890046', '1005890047', '1005890048', '1005890104', '1005890144', '1005891001', '1005891002', '1005891003', '1005891004', '1005891005', '1005891006', '1005891007', '1005891008', '1005891009', '1005891010', '1005891011', '1005891012', '1005891013', '1005891014', '1005891015', '1005891016', '1005891017', '1005891018', '1005891019', '1005891020', '1005891021', '1005891022', '1005891023', '1005891024', '1005891025', '1005891026', '1005891027', '1005891028', '1005891029', '1005891030', '1005891031', '1005891032', '1005891033', '1005891034', '1005891035', '1005891036', '1005891037', '1005891038', '1005891039', '1005891040', '1005891041', '1005891042', '1005891043', '1005891044', '1005900001', '1005900002', '1005900005', '1005900007', '1005900008', '1005900009', '1005900010', '1005900011', '1005900013', '1005900014', '1005900015', '1005900016', '1005900018', '1005900019', '1005900020', '1005900021', '1005900022', '1005900025', '1005900026', '1005900028', '1005900029', '1005900031', '1005900032', '1005900033', '1005900034', '1005900037', '1005900038', '1005900041', '1005900042', '1005900043', '1005900045', '1005900047', '1005900048', '1005900049', '1005900050', '1005900051', '1005900052', '1005900053', '1005900054', '1005900055', '1005900056', '1005900059', '1005900060', '1005900061', '1005900063', '1005900064', '1005900073', '1005900075', '1005900076', '1005900077', '1005900078', '1005900079', '1005900081', '1005900082', '1005900083', '1005900084', '1005900085', '1005900086', '1005900087', '1005900088', '1005900137', '1005900149', '1005901001', '1005901002', '1005901003', '1005901004', '1005901005', '1005901006', '1005901007', '1005901008', '1005901009', '1005901010', '1005901101', '1005901102', '1005910002', '1005910003', '1005910004', '1005910006', '1005910009', '1005910010', '1005910015', '1005910017', '1005910019', '1005910020', '1005910022', '1005910026', '1005910033', '1005910034', '1005910036', '1005910040', '1005910043', '1005910045', '1005910046', '1005910047', '1005910048', '1005910049', '1005910051', '1005910052', '1005910053', '1005910054', '1005910060', '1005910061', '1005910062', '1005920027', '1005920028', '1005920029', '1005920032', '1005920034', '1005920035', '1005920036', '1005920037', '1005920039', '1005920040', '1005920042', '1005920044', '1005920045', '1005920046', '1005920048', '1005920087', '1005921001', '1005921002', '1005921003', '1005921004', '1005921005', '1005921006', '1005921007', '1005921008', '1005921009', '1005921010', '1005921011', '1005921012', '1005921013', '1005921014', '1005921015', '1005921016', '1005921017', '1005921018', '1005921019', '1005921020', '1005921021', '1005921022', '1005921023', '1005921024', '1005921025', '1005921026', '1005921027', '1005921028', '1005921029', '1005921030', '1005921031', '1005921032', '1005921033', '1005921034', '1005921035', '1005921036', '1005921037', '1005921038', '1005921039', '1005921040', '1005921041', '1005921042', '1005921043', '1005921044', '1005921045', '1005921046', '1005930012', '1005930036', '1005930041', '1005930042', '1005930043', '1005930044', '1005930045', '1005930051', '1005931001', '1005931002', '1006100001', '1006100009', '1006100016', '1006100017', '1006100021', '1006100022', '1006100023', '1006100024', '1006100025', '1006100026', '1006100027', '1006100028', '1006100030', '1006100041', '1006100042', '1006100044', '1006100045', '1006100046', '1006100048', '1006100051', '1006100052', '1006100055', '1006100056', '1006100060', '1006100064', '1006100066', '1006100068', '1006100069', '1006100071', '1006100072', '1006100075', '1006101001', '1006101002', '1006101003', '1006101004', '1006101005', '1006101006', '1006101007', '1006101008', '1006101009', '1006101010', '1006101011', '1006101013', '1006101014', '1006101015', '1006101016', '1006101017', '1006101018', '1006101019', '1006101020', '1006101021', '1006101022', '1006101023', '1006101024', '1006101025', '1006101026', '1006101027', '1006101028', '1006101029', '1006101030', '1006101031', '1006101032', '1006101033', '1006101034', '1006101035', '1006101036', '1006101037', '1006101038', '1006101039', '1006101040', '1006101041', '1006101042', '1006101043', '1006101044', '1006101045', '1006101046', '1006101047', '1006101048', '1006101049', '1006101050', '1006101051', '1006101052', '1006101053', '1006101054', '1006101055', '1006101056', '1006101057', '1006101058', '1006101059', '1006101060', '1006101061', '1006101062', '1006101063', '1006101064', '1006101065', '1006101066', '1006101067', '1006101068', '1006101069', '1006101070', '1006101071', '1006101072', '1006101073', '1006101074', '1006101075', '1006101076', '1006101077', '1006101078', '1006101079', '1006101080', '1006101081', '1006101082', '1006101083', '1006101084', '1006101085', '1006101086', '1006101087', '1006101088', '1006101089', '1006101090', '1006101091', '1006101092', '1006101093', '1006101094', '1006101095', '1006101096', '1006101097', '1006101098', '1006101099', '1006101100', '1006101101', '1006101102', '1006101103', '1006101104', '1006101105', '1006101106', '1006101107', '1006101108', '1006101109', '1006101110', '1006101111', '1006101112', '1006101113', '1006101114', '1006101115', '1006101116', '1006101117', '1006101118', '1006101119', '1006101120', '1006101121', '1006101301', '1006101302', '1006101303', '1006101304', '1006101305', '1006101306', '1006101307', '1006101308', '1006101309', '1006101310', '1006110001', '1006110014', '1006110015', '1006110016', '1006110021', '1006110022', '1006110024', '1006110027', '1006110030', '1006110031', '1006110032', '1006110033', '1006110034', '1006110035', '1006110037', '1006110041', '1006110067', '1006110069', '1006110070', '1006110072', '1006110074', '1006110076', '1006111001', '1006111002', '1006111003', '1006111004', '1006111005', '1006111006', '1006111007', '1006111008', '1006111009', '1006111010', '1006111011', '1006111012', '1006120018', '1006120028', '1006120029', '1006120046', '1006120051', '1006121001', '1006121002', '1006121003', '1006121004', '1006121005', '1006121006', '1006121007', '1006121008', '1006121009', '1006121010', '1006121011', '1006121012', '1006121013', '1006121014', '1006121015', '1006121016', '1006121017', '1006121018', '1006121019', '1006121020', '1006121021', '1006121023', '1006121101', '1006121102', '1006121301', '1006121302', '1006121303', '1006121304', '1006121305', '1006121306', '1006121307', '1006121308', '1006121309', '1006121310', '1006121311', '1006121312', '1006121313', '1006121314', '1006121315', '1006121316', '1006121317', '1006121318', '1006121319', '1006121320', '1006121321', '1006121322', '1006121323', '1006121324', '1006121325', '1006121326', '1006121327', '1006121328', '1006121329', '1006121330', '1006121331', '1006121332', '1006121333', '1006121334', '1006121335', '1006121336', '1006121337', '1006121338', '1006121339', '1006121340', '1006121341', '1006121342', '1006121343', '1006121344', '1006121345', '1006121346', '1006121347', '1006121348', '1006121349', '1006121350', '1006121351', '1006121352', '1006121353', '1006121354', '1006121355', '1006121356', '1006121357', '1006121358', '1006121359', '1006121360', '1006121361', '1006121362', '1006121363', '1006121364', '1006121365', '1006121366', '1006121367', '1006121368', '1006121369', '1006121370', '1006121371', '1006121372', '1006121373', '1006121374', '1006121375', '1006121376', '1006121377', '1006121378', '1006121379', '1006121380', '1006121381', '1006121382', '1006121383', '1006121384', '1006121385', '1006121386', '1006121387', '1006121388', '1006121389', '1006121390', '1006121391', '1006121392', '1006121393', '1006121394', '1006121395', '1006121396', '1006121397', '1006121398', '1006121399', '1006121400', '1006121401', '1006121402', '1006121403', '1006121404', '1006121405', '1006121406', '1006121407', '1006121408', '1006121409', '1006121410', '1006121411', '1006121412', '1006121413', '1006121414', '1006121415', '1006121416', '1006121417', '1006121418', '1006121419', '1006121420', '1006121421', '1006121422', '1006121423', '1006121424', '1006121425', '1006190001', '1006190026', '1006190033', '1006190038', '1006190039', '1006190041', '1006190042', '1006190044', '1006190045', '1006190046', '1006190050', '1006190051', '1006190052', '1006190053', '1006190054', '1006190055', '1006190056', '1006190061', '1006190062', '1006190063', '1006190064', '1006190065', '1006190067', '1006190068', '1006190069', '1006190070', '1006190074', '1006190077', '1006190078', '1006190080', '1006190081', '1006190082', '1006190083', '1006190084', '1006191001', '1006191002', '1006191003', '1006191004', '1006191005', '1006191006', '1006191007', '1006191101', '1006191102', '1006191103', '1006200019', '1006200041', '1006200044', '1006200045', '1006200046', '1006200047', '1006200048', '1006200049', '1006200050', '1005867501', '1005867502', '1005877501', '1005877502', '1005887501', '1005887502', '1005897501', '1005907501', '1005907502', '1005927501', '1005937501', '1006107501', '1006107503', '1006117501', '1006127501', '1006127502', '1006127504', '1006197501', '1006197502', '1005830029']",['N220217BDM'],"[[-74.003945, 40.729964], [-74.004058, 40.730155], [-74.004093, 40.730215], [-74.004125, 40.730269], [-74.004153, 40.730317], [-74.004183, 40.730368], [-74.004214, 40.730421], [-74.004058, 40.730471], [-74.004007, 40.730487], [-74.003951, 40.730504], [-74.003874, 40.730529], [-74.003812, 40.730549], [-74.003687, 40.730588], [-74.003544, 40.730633], [-74.003477, 40.730654], [-74.003404, 40.730677], [-74.00334, 40.730698], [-74.003275, 40.730718], [-74.003208, 40.73074], [-74.002863, 40.730849], [-74.002596, 40.730391], [-74.002942, 40.730282], [-74.003027, 40.730255], [-74.003109, 40.730229], [-74.003277, 40.730175], [-74.003359, 40.73015], [-74.003436, 40.730125], [-74.003525, 40.730097], [-74.003692, 40.730044], [-74.003859, 40.729992], [-74.003945, 40.729964]]"
6,2021M0157,FDNY - Fire Department of NYC,Manhattan,True,Block 675 - EMS #7 relocation,"Combined Site Selection and Site Acquisition action to facilitate the relocation of EMS #7 is being sought by FDNY and DCAS at 601-613 West 29th Street (Block 675, Lot 12), Community District 4, Manhattan.",22FDO002M,Noticed,2022-05-27T00:00:06.000Z,['1006750012'],[None],"[[-74.004607, 40.753184], [-74.004526, 40.753151], [-74.004355, 40.753388], [-74.004026, 40.753249], [-74.004197, 40.753012], [-74.004373, 40.752768], [-74.004703, 40.752906], [-74.00494, 40.753005], [-74.005098, 40.753072], [-74.006046, 40.753469], [-74.005869, 40.753715], [-74.005074, 40.753381], [-74.004921, 40.753316], [-74.004763, 40.75325], [-74.004607, 40.753184]]"
7,2020M0503,HPD - NYC Dept of Housing Preservation & Development,Manhattan,False,Castle III: 107-111 E 123rd Street,"The applicant, HPD seeks seeks an UDAAP designation and disposition of city-owned land and a special permit (ZR 74-903) to increase FAR from 3.44 to 6.5 for Use group 3 - non-profit with sleeping accommodations to facilitate the construction of a 15 story supportive housing building, with approximately 81 units, which will include housing for the formerly incarcerated, homeless, and low income individuals. 

 ",21HPD004M,In Public Review,2021-07-30T00:00:09.000Z,"['1017720008', '1017720004', '1017720007']","['220060HAM', '220059ZSM']","[[-73.938939, 40.803722], [-73.939121, 40.803472], [-73.939198, 40.803505], [-73.939277, 40.803538], [-73.939388, 40.803584], [-73.939206, 40.803835], [-73.939174, 40.803821], [-73.939096, 40.803788], [-73.939017, 40.803755], [-73.938939, 40.803722]]"
8,2019M0455,The Durst Organization,Manhattan,False,1815 Park Ave - Transit Easement,"This is a private application by 1815 Park Avenue Acquisition LLC, requesting a Transit Easement Certification pursuant to ZR Section 95-041, where the MTA has determined that an easement is necessary on the site at 1815 Park Avenue, in Community District 11, Manhattan. ",20DCP025M,In Public Review,,['1017730069'],['N200074ZCM'],"[[-73.938612, 40.804737], [-73.938752, 40.804544], [-73.939042, 40.804667], [-73.938898, 40.804859], [-73.938612, 40.804737]]"
9,2019M0453,The Durst Organization,Manhattan,False,110 East 125th Street - Transit Easement,"This is a private application by 1801 Park Avenue Acquisition LLC, requesting a Transit Easement Certification pursuant to ZR Section 95-041, where the MTA has determined that an easement is necessary on the site at 110 East 125th Street, in Community District 11, Manhattan. ",20DCP024M,In Public Review,,"['1017730067', '1017730001']","['N200075ZCM', None]","[[-73.938809, 40.804468], [-73.938778, 40.80451], [-73.938752, 40.804544], [-73.938612, 40.804737], [-73.938455, 40.80467], [-73.93862, 40.804443], [-73.938817, 40.804175], [-73.939267, 40.804365], [-73.939155, 40.804515], [-73.938864, 40.804392], [-73.938809, 40.804468]]"
